as,как
I,Я
his,его
that,что
he,он
was,было
for,для
on,на
are,являются
with,с
they,они
be,быть
at,в
one,один
have,иметь
this,это
from,от
by,по
word,слово
but,но
what,что
some,некоторые
is,является
it,это
you,вы
or,или
had,было
the,площадь
of,из
to,гора
and,и
a,основной
in,взял
we,мы
can,может
out,из
other,другой
were,были
which,который
do,сделать
their,их
time,время
if,если
will,будет
how,как
said,указанный
an,назад
each,каждый
tell,сказать
does,делает
set,набор
three,три
want,хочу
air,воздух
well,хорошо
also,также
play,играть
small,небольшой
end,конец
put,положить
home,домой
read,читать
hand,рука
port,порт
large,большой
spell,заклинание
add,добавлять
even,даже
land,земля
here,здесь
must,должны
big,большой
high,высокий
such,такие
follow,следовать
act,акт
why,почему
ask,спросите
men,люди
change,изменение
went,пошел
light,свет
kind,вид
off,от
need,нуждаться
house,дом
picture,картинка
try,пытаться
us,нам
again,снова
animal,животных
point,точка
mother,мать
world,мир
near,около
build,строить
self,самостоятельно
earth,земля
father,отец
any,любой
new,новый
work,работа
part,часть
take,принимать
get,получать
place,место
made,сделал
live,жить
where,где
after,после
back,назад
little,немного
only,только
round,круглый
man,человек
year,год
came,пришел
show,шоу
every,каждый
good,хорошее
me,меня
give,давать
our,наш
under,под
name,название
very,очень
through,через
just,просто
form,форма
sentence,приговор
great,большой
think,думать
say,сказать
help,помощь
low,низкий
line,линия
differ,отличаются
turn,поворот
cause,причиной
much,много
mean,означать
before,до
move,движение
right,право
boy,мальчик
old,старый
too,слишком
same,же
she,она
all,все
there,там
when,когда
up,вверх
use,использование
your,ваш
way,способ
about,о
many,многие
then,затем
them,их
write,запись
would,бы
like,подобно
so,так
these,эти
her,ее
long,долго
make,сделать
thing,вещь
see,посмотреть
him,его
two,два
has,имеет
look,искать
more,еще
day,день
could,мог
go,идти
come,приходят
did,сделал
number,число
sound,звук
no,нет
most,наиболее
people,люди
my,мой
over,над
know,знать
water,вода
than,чем
call,вызов
first,первый
who,кто
may,может
down,вниз
side,сторона
been,был
now,сейчас
find,находить
head,руководитель
stand,стоять
own,самостоятельно
page,страница
should,должны
country,страна
found,найдено
answer,ответ
school,школа
grow,расти
study,исследование
still,еще
learn,учиться
plant,завод
cover,крышка
food,еда
sun,солнце
four,четыре
between,между
state,состояние
keep,держать
eye,глаз
never,никогда не
last,Последнее
let,позволять
thought,мысль
city,город
tree,дерево
cross,пересекают
farm,ферма
hard,трудно
start,начало
might,мощи
story,история
saw,пила
far,далеко
sea,море
draw,привлечь
left,слева
late,поздно
run,запустить
don’t,не
while,в то время как
press,нажмите
close,близко
night,ночь
real,реальный
life,жизнь
few,несколько
north,к северу
book,книга
carry,нести
took,взял
science,наука
eat,есть
room,номер
friend,друг
began,начал
idea,идея
fish,рыба
mountain,гора
stop,остановить
once,раз
base,база
hear,слышать
horse,лошадь
cut,вырезать
sure,уверен
watch,смотреть
color,цвет
face,лицо
wood,дерево
main,основной
open,открыт
seem,кажется
together,вместе
next,следующий
white,белый
children,дети
begin,начать
got,получил
walk,ходить
example,пример
ease,легкость
paper,бумага
group,группа
always,всегда
music,музыка
those,"тех,"
both,как
mark,знак
often,часто
letter,письмо
until,до
mile,км
river,река
car,автомобиль
feet,футов
care,уход
second,Второй
enough,достаточно
plain,равнина
girl,девушка
usual,обычно
young,молодой
ready,готовый
above,выше
ever,когда-либо
red,красный
list,список
though,хотя
feel,чувствовать
talk,разговор
bird,птица
soon,скоро
body,тело
dog,собака
family,семья
direct,прямой
pose,представляют
leave,оставить
song,песня
measure,измерять
door,дверь
product,продукт
black,черный
short,короткая
numeral,цифра
class,класс
wind,ветер
question,вопрос
happen,произойдет
complete,полная
ship,корабль
area,площадь
half,половина
rock,рок
order,порядок
fire,огонь
south,юг
problem,проблема
piece,кусок
told,сказал
knew,знал
pass,проходить
since,с
top,топ
whole,весь
king,король
street,улица
inch,дюйм
multiply,умножить
nothing,ничего
course,курс
